Company Name,Full Description,YC Page,Website,LinkedIn URL,Mentions YC S25
Nox Metals,"The modern factory for fast, low-cost metals.",https://www.ycombinator.com/companies/nox-metals,https://noxmetals.co/,https://www.linkedin.com/in/zanehh/,1
Uplift AI,Foundational Voice AI for underserved languages,https://www.ycombinator.com/companies/uplift-ai,https://upliftai.org/,https://linkedin.com/in/muhammad-sabir,0
RealRoots,RealRoots is a mobile app that guarantees women lifelong friendships.,https://www.ycombinator.com/companies/realroots,http://www.therealroots.com,https://linkedin.com/in/tara-kappel-5baa6095,0
Luminal,Simple ML framework and cloud for generating fast GPU code.,https://www.ycombinator.com/companies/luminal,https://luminalai.com,https://linkedin.com/in/joe-fioti-24a986189,0
Outrove,Ultra-realistic AI Recruiter,https://www.ycombinator.com/companies/outrove,https://www.outrove.ai/,https://www.linkedin.com/in/ahmedelshireef/,0
Vulcan Technologies,AI legal cartography,https://www.ycombinator.com/companies/vulcan-technologies,https://www.vulcan-tech.com/,https://www.linkedin.com/in/tanner-jones-817192167/,1
Interfere,The self-healing layer of the internet,https://www.ycombinator.com/companies/interfere,https://interfere.com,https://linkedin.com/in/shiels,0
TectoAI,Governance for AI Employees,https://www.ycombinator.com/companies/tectoai,https://www.tecto.ai/,https://www.linkedin.com/in/afsharikia/,0
Perspectives Health,Automating EMRs for frontline clinicians,https://www.ycombinator.com/companies/perspectives-health,https://perspectiveshealth.ai/,https://www.linkedin.com/in/eshan-dosani/,0
Modelence,All-in-one TypeScript platform for startups,https://www.ycombinator.com/companies/modelence,https://modelence.com,https://www.linkedin.com/in/artahian/,0
Magnetic,AI tax preparation for CPAs,https://www.ycombinator.com/companies/magnetic,https://www.magnetictax.com,https://linkedin.com/in/patrick-fay-5418a822,0
stagewise,The frontend coding agent for production codebases,https://www.ycombinator.com/companies/stagewise,https://stagewise.io,https://www.linkedin.com/in/juliangoetze/,0
Flywheel AI,Waymo for excavators,https://www.ycombinator.com/companies/flywheel-ai,https://useflywheel.ai/,https://www.linkedin.com/in/jashmota/,0
Juxta,Building a GPS alternative 100x more powerful with no hardware needed.,https://www.ycombinator.com/companies/juxta,https://usejuxta.org,https://www.linkedin.com/in/ferrara-john/,0
Okibi,"Build agents using natural language, it's Lovable for agents",https://www.ycombinator.com/companies/okibi,https://okibi.ai,https://www.linkedin.com/in/mahyad-ghassemi/,0
dScribe AI,Track bulk inventory with autonomous drones and 3D vision,https://www.ycombinator.com/companies/dscribe-ai,https://dscribeai.com/,https://linkedin.com/in/jordan-mryyan,1
Kernel,High performance browsers-as-a-service for web agents & automations,https://www.ycombinator.com/companies/kernel,https://www.onkernel.com/,https://www.linkedin.com/in/juecd,0
Reacher,We help brands scale creator partnerships 10x faster,https://www.ycombinator.com/companies/reacher,https://reacherapp.com/,https://linkedin.com/in/bora-mutluoglu,0
Certus AI,Replacing the restaurant phone line with Voice AI,https://www.ycombinator.com/companies/certus-ai,https://www.certus-ai.com/,https://www.linkedin.com/in/adam-gamieldien-067605247/,0
